"beneficiary_id","customer_id","customer_country_code","beneficiary_type","beneficiary_country","beneficiary_name","beneficiary_add_line_1","beneficiary_add_line_2","beneficiary_city","account_number","bank_name","branch_name","bank_address","contact_mobile","contact_email","nickname","swift_code","iban_number","is_active","is_deleted","is_favourite","cooling_period","created_at","last_modified_at","created_by","last_modified_by","is_approved","is_rejected","admin_remarks","wallet_type","agent_id","beneficiary_currency","bank_gateway_code","has_branches","branch_code","biller_id","biller_category","biller_category_id","subcategory","subcategory_id","biller_name","biller_input_value","biller_input_label","biller_icon","biller_icon_url","biller_input_json","biller_input_value_json","api_key","wallet_code","input_label","input_label_ch"
46,"002001314",BW,IWL,BW,Orange Money,,,,"649464",,,,,,,,,true,false,,,2026-02-25 08:22:38.322,2026-02-25 08:22:38.322,,,,,,BW-ORANGE-AIRTIME,,BWP,,false,,,,,,,,,,,,,,,,,
47,"002011507",BW,OBE,BW,Wewewe,,,,"224244",BANK OF INDIA (BOTSWANA) LIMITED,"",,,,,,,true,false,,,2026-02-25 11:26:46.183,2026-02-25 11:26:46.183,,,,,,,,BWP,,false,,,,,,,,,,,,,,,,,
48,R0029116,BW,INSW,AO,International SWIFt,"22423",Safdar,FS,"8789789789",BANCO ANGOLANO NEGOCIOS E COME, ,,"","","",ANCEAOLU,"",true,false,false,,2026-02-25 12:59:29.473,2026-02-25 12:59:29.473,,,,,,"","",GBP,,false,,,,,,,,,,,,,,,,,
49,R0029116,BW,INSW,AD,Dsfdsf,Add,Add,Cirt,"343254343",MORA BANC GRUP SA, ,,"","","",BINAADAD,"",true,false,false,,2026-02-25 16:24:25.028,2026-02-25 16:24:25.028,,,,,,"","",BWP,,false,,,,,,,,,,,,,,,,,
50,R0029116,BW,INSW,IL,SWIFT Italy,Itly,Tik dk,Sdf,"235325235",BANK OF ISRAEL, ,,"","","",BOICILIJ,"",true,false,false,,2026-02-25 16:33:06.019,2026-02-25 16:33:06.019,,,,,,"","",BWP,,false,,,,,,,,,,,,,,,,,
51,R0029116,BW,IWL,BW,Orange Money,,,,"234234324",,,,,,,,,true,false,,,2026-02-25 16:35:54.337,2026-02-25 16:35:54.337,,,,,,BW-ORANGE-AIRTIME,,BWP,,false,,,,,,,,,,,,,,,,,
52,R0029116,BW,IWL,BW,Orange Money,,,,"213123",,,,,,,,,true,false,,,2026-02-26 07:03:38.857,2026-02-26 07:03:38.857,,,,,,BW-ORANGE-AIRTIME,,BWP,,false,,,,,,,,,,,,,,,,,
56,"002001314",BW,OBE,BW,Other bank EFT,,,,"848484",ACCESS BANK BOTSWANA LIMITED,"",,,,,,,true,false,,,2026-02-26 07:59:10.381,2026-02-26 07:59:10.381,,,,,,,,BWP,,false,,,,,,,,,,,,,,,,,
59,"002001314",BW,INSAD,ZA,International ben ,Test,Test,Nasik,Gsgs62662,FIRSTRAND BANK LIMITED,WATERFALL MALL 994,,"","","",FIRNZAJJ,"",true,false,false,,2026-02-26 11:38:55.015,2026-02-26 11:38:55.015,,,,,,"","",ZAR,,false,,,,,,,,,,,,,,,,,
62,R0029116,BW,INSW,,Adad,Asdsad,Add1,City,"12122323",FIRSTRAND BANK LIMITED,WATERFALL MALL 994,,"","","",FIRNZAJJ,"",true,false,false,,2026-02-26 16:05:28.209,2026-02-26 16:05:28.209,,,,,,"","",BWP,,false,,,,,,,,,,,,,,,,,
